轮次编号,任务描述,总执行次数,成功次数,失败次数,平均耗时(ms),最大耗时(ms),最小耗时(ms),总耗时(s),吞吐量(tps),成功率,错误率
1,887,15,12,3,5,10,1,0.076,0.499992,0.8,0.2
1,888,10,9,1,7,13,2,0.07,0.333328,0.9,0.1
1,889,8,7,1,6,11,3,0.054,0.266663,0.875,0.125
1,890,6,6,0,5,8,2,0.032,0.199997,1,0
1,891,24,23,1,6,12,1,0.164,0.799988,0.958333,0.0416667
1,892,15,14,1,5,11,1,0.086,0.499992,0.933333,0.0666667
1,893,10,9,1,5,11,2,0.055,0.333328,0.9,0.1
1,894,8,7,1,4,9,1,0.034,0.266663,0.875,0.125
1,895,6,6,0,5,9,2,0.034,0.199997,1,0
1,896,24,22,2,4,10,1,0.114,0.799988,0.916667,0.0833333
1,897,15,11,4,6,10,1,0.098,0.499992,0.733333,0.266667
1,898,11,10,1,6,10,2,0.073,0.366661,0.909091,0.0909091
1,899,8,8,0,4,11,2,0.039,0.266663,1,0
1,900,6,6,0,7,10,3,0.047,0.199997,1,0
1,901,25,22,3,6,11,1,0.156,0.833321,0.88,0.12
1,902,15,15,0,4,10,1,0.07,0.499992,1,0
1,903,10,10,0,5,10,1,0.056,0.333328,1,0
1,904,8,7,1,6,10,1,0.048,0.266663,0.875,0.125
1,905,6,6,0,6,7,5,0.036,0.199997,1,0
1,906,25,20,5,5,11,1,0.138,0.833321,0.8,0.2
1,907,15,14,1,6,9,3,0.095,0.499992,0.933333,0.0666667
1,908,10,8,2,6,10,1,0.063,0.333328,0.8,0.2
1,909,8,5,3,6,10,3,0.052,0.266663,0.625,0.375
1,910,6,6,0,4,8,2,0.028,0.199997,1,0
1,911,25,23,2,5,11,1,0.149,0.833321,0.92,0.08
1,912,15,15,0,6,12,2,0.1,0.499992,1,0
1,913,10,9,1,5,10,2,0.058,0.333328,0.9,0.1
1,914,8,8,0,5,9,1,0.041,0.266663,1,0
1,915,6,6,0,6,10,2,0.037,0.199997,1,0
1,916,24,22,2,6,10,1,0.157,0.799988,0.916667,0.0833333
1,917,15,11,4,5,10,1,0.083,0.499992,0.733333,0.266667
1,918,10,9,1,5,9,1,0.05,0.333328,0.9,0.1
1,919,8,7,1,6,11,1,0.05,0.266663,0.875,0.125
1,920,6,4,2,5,10,1,0.032,0.199997,0.666667,0.333333
1,921,25,23,2,6,11,3,0.16,0.833321,0.92,0.08
1,922,15,13,2,5,11,1,0.083,0.499992,0.866667,0.133333
1,923,10,8,2,5,10,2,0.059,0.333328,0.8,0.2
1,924,8,7,1,5,9,4,0.044,0.266663,0.875,0.125
1,925,6,6,0,4,10,1,0.026,0.199997,1,0
1,926,25,23,2,5,10,1,0.135,0.833321,0.92,0.08
1,927,15,12,3,5,9,2,0.084,0.499992,0.8,0.2
1,928,10,10,0,6,11,1,0.069,0.333328,1,0
1,929,8,7,1,6,10,3,0.049,0.266663,0.875,0.125
1,930,6,6,0,8,11,7,0.052,0.199997,1,0
1,931,24,23,1,6,9,3,0.156,0.799988,0.958333,0.0416667
1,932,15,13,2,6,10,2,0.095,0.499992,0.866667,0.133333
1,933,10,9,1,4,9,1,0.04,0.333328,0.9,0.1
1,934,8,7,1,4,9,1,0.039,0.266663,0.875,0.125
1,935,6,5,1,6,10,1,0.037,0.199997,0.833333,0.166667
1,936,24,21,3,6,11,1,0.148,0.799988,0.875,0.125
1,937,15,14,1,7,13,1,0.109,0.499992,0.933333,0.0666667
1,938,10,10,0,5,10,1,0.055,0.333328,1,0
1,939,8,6,2,5,11,1,0.041,0.266663,0.75,0.25
1,940,6,4,2,7,11,2,0.044,0.199997,0.666667,0.333333
1,941,25,23,2,6,11,1,0.156,0.833321,0.92,0.08
1,942,15,13,2,5,11,1,0.087,0.499992,0.866667,0.133333
1,943,10,9,1,4,8,2,0.047,0.333328,0.9,0.1
1,944,8,8,0,6,11,1,0.053,0.266663,1,0
1,945,6,5,1,9,11,8,0.055,0.199997,0.833333,0.166667
1,946,25,20,5,6,10,2,0.159,0.833321,0.8,0.2
1,947,15,14,1,5,11,1,0.089,0.499992,0.933333,0.0666667
1,948,10,8,2,4,8,1,0.043,0.333328,0.8,0.2
1,949,8,7,1,5,8,2,0.045,0.266663,0.875,0.125
1,950,6,6,0,5,7,2,0.03,0.199997,1,0
1,951,25,22,3,5,11,1,0.133,0.833321,0.88,0.12
1,952,15,14,1,6,10,2,0.1,0.499992,0.933333,0.0666667
1,953,10,10,0,5,10,1,0.058,0.333328,1,0
1,954,8,7,1,6,10,3,0.054,0.266663,0.875,0.125
1,955,6,5,1,5,9,2,0.035,0.199997,0.833333,0.166667
1,956,25,21,4,5,11,1,0.131,0.833321,0.84,0.16
1,957,15,10,5,4,11,1,0.066,0.499992,0.666667,0.333333
1,958,10,9,1,5,12,2,0.058,0.333328,0.9,0.1
1,959,8,7,1,7,12,3,0.058,0.266663,0.875,0.125
1,960,6,6,0,6,10,2,0.041,0.199997,1,0
1,961,25,25,0,5,11,1,0.125,0.833321,1,0
1,962,15,15,0,4,10,1,0.066,0.499992,1,0
1,963,10,7,3,5,10,2,0.058,0.333328,0.7,0.3
1,964,8,7,1,6,11,3,0.05,0.266663,0.875,0.125
1,965,6,4,2,9,11,7,0.055,0.199997,0.666667,0.333333
1,966,25,22,3,5,10,1,0.126,0.833321,0.88,0.12
1,967,15,13,2,6,11,1,0.09,0.499992,0.866667,0.133333
1,968,10,10,0,6,9,1,0.063,0.333328,1,0
1,969,8,7,1,5,10,1,0.047,0.266663,0.875,0.125
1,970,6,6,0,4,10,2,0.029,0.199997,1,0
1,971,25,24,1,4,11,1,0.118,0.833321,0.96,0.04
1,972,15,13,2,6,11,1,0.102,0.499992,0.866667,0.133333
